epoch,step,train/loss,train/reward,val/reward
0,49,0.2579653561115265,-0.25384265184402466,
0,99,0.17207729816436768,-0.1440163403749466,
0,149,0.11007803678512573,-0.16431760787963867,
0,199,0.11879239976406097,-0.15224608778953552,
0,249,0.09982401132583618,-0.10406249761581421,
0,299,0.08783502131700516,-0.16038280725479126,
0,349,0.16628819704055786,-0.07112500071525574,
0,391,,,-0.33293673396110535
1,399,0.08587789535522461,-0.12678995728492737,
1,449,0.12338294088840485,-0.0976562574505806,
1,499,0.13137215375900269,-0.06272898614406586,
1,549,0.13932660222053528,-0.07712402939796448,
1,599,0.09931273758411407,-0.08039773255586624,
1,649,0.10417480766773224,-0.09509171545505524,
1,699,0.07099128514528275,-0.10935497283935547,
1,749,0.15253737568855286,-0.044912345707416534,
1,783,,,-0.32722264528274536
2,799,0.07888181507587433,-0.14962586760520935,
2,849,0.1147533655166626,-0.08384145796298981,
2,899,0.07960781455039978,-0.12342796474695206,
2,949,0.07678884267807007,-0.13150495290756226,
2,999,0.10103072226047516,-0.07576754689216614,
2,1049,0.07161134481430054,-0.10128528624773026,
2,1099,0.08869291841983795,-0.09268465638160706,
2,1149,0.08420485258102417,-0.10385890305042267,
2,1175,,,-0.325208842754364
3,1199,0.08071905374526978,-0.09868164360523224,
3,1249,0.08826671540737152,-0.0983409434556961,
3,1299,0.08006445318460464,-0.09924999624490738,
3,1349,0.18476250767707825,-0.05740740895271301,
3,1399,0.034666191786527634,-0.11765308678150177,
3,1449,0.04855329915881157,-0.03525815159082413,
3,1499,-0.007867575623095036,-0.0864204615354538,
3,1549,0.02159520797431469,-0.07099094986915588,
3,1567,,,-0.3234124779701233
4,1599,0.01833144761621952,-0.03693677484989166,
4,1649,-0.0026440145447850227,-0.03772321715950966,
4,1699,-0.0005088455509394407,-0.06272195279598236,
4,1749,0.0034897788427770138,-0.06233132630586624,
4,1799,-0.004106815438717604,-0.09107421338558197,
4,1849,0.009688451886177063,-0.09463205933570862,
4,1899,0.008767220191657543,-0.09305556118488312,
4,1949,0.01651732623577118,-0.09490525722503662,
4,1959,,,-0.32570621371269226
5,1999,0.02384154498577118,-0.05257056653499603,
5,2049,-0.0013232408091425896,-0.07679687440395355,
5,2099,0.008706900291144848,-0.04681919887661934,
5,2149,0.0016161669045686722,-0.07794811576604843,
5,2199,0.0273168683052063,-0.08828955888748169,
5,2249,-0.005026125814765692,-0.06348437070846558,
5,2299,0.007103531621396542,-0.08646906912326813,
5,2349,0.0065897745080292225,-0.04508167505264282,
5,2351,,,-0.3274449110031128
6,2399,0.06937079131603241,-0.046935100108385086,
6,2449,0.011710361577570438,-0.07877121865749359,
6,2499,0.020753799006342888,-0.06324999779462814,
6,2549,0.014145808294415474,-0.05479267239570618,
6,2599,0.02288060262799263,-0.031844429671764374,
6,2649,-0.006790062878280878,-0.07063420116901398,
6,2699,0.016786739230155945,-0.0416666679084301,
6,2743,,,-0.329472154378891
7,2749,0.011924980208277702,-0.040369074791669846,
7,2799,-0.009595932438969612,-0.03318537026643753,
7,2849,0.05679726600646973,-0.06495536118745804,
7,2899,0.01874646358191967,-0.036734066903591156,
7,2949,0.020549964159727097,-0.10727332532405853,
7,2999,-0.02066437527537346,-0.03987233340740204,
7,3049,-0.01222730427980423,-0.049797795712947845,
7,3099,-0.010018380358815193,-0.053977273404598236,
7,3135,,,-0.326427698135376
8,3149,0.007166753523051739,-0.04984375089406967,
8,3199,0.004360916558653116,-0.06125488132238388,
8,3249,0.003170368727296591,-0.09430675208568573,
8,3299,-0.007713929284363985,-0.050988055765628815,
8,3349,0.0068576755002141,-0.02779947966337204,
8,3399,0.030439693480730057,-0.07351763546466827,
8,3449,0.0032296916469931602,-0.05814525485038757,
8,3499,-0.00103701651096344,-0.056190814822912216,
8,3527,,,-0.32917046546936035
9,3549,-0.0018668024567887187,-0.06161535531282425,
9,3599,0.009203396737575531,-0.07405985891819,
9,3649,-0.0021791462786495686,-0.0627421885728836,
9,3699,-0.0036216764710843563,-0.046300120651721954,
9,3749,-0.004439453594386578,-0.06366705894470215,
9,3799,-0.009652470238506794,-0.06494565308094025,
9,3849,-0.0053567709401249886,-0.0650712102651596,
9,3899,0.007238989695906639,-0.0431610606610775,
9,3919,,,-0.32088086009025574
10,3949,0.003137357998639345,-0.056533314287662506,
10,3999,0.0018220413476228714,-0.0481875017285347,
10,4049,-0.006605804897844791,-0.03986073285341263,
10,4099,0.0015730117447674274,-0.058859534561634064,
10,4149,0.007365952245891094,-0.08601241558790207,
10,4199,-0.012244956567883492,-0.04577047377824783,
10,4249,0.00508340448141098,-0.03768029063940048,
10,4299,0.02177290804684162,-0.07454342395067215,
10,4311,,,-0.3221425712108612
11,4349,0.01451960764825344,-0.053395435214042664,
11,4399,0.012340969406068325,-0.048638395965099335,
11,4449,0.003104104660451412,-0.056218747049570084,
11,4499,-0.00443598348647356,-0.05455729365348816,
11,4549,0.002655505435541272,-0.05885417014360428,
11,4599,-0.01057154219597578,-0.07597179710865021,
11,4649,-0.0004728012718260288,-0.06530671566724777,
11,4699,0.002377161756157875,-0.10035937279462814,
11,4703,,,-0.3203665316104889
12,4749,0.0019423679914325476,-0.03163296729326248,
12,4799,0.0009605982340872288,-0.036009617149829865,
12,4849,0.015069250948727131,-0.05607244372367859,
12,4899,0.0035911237355321646,-0.08077626675367355,
12,4949,0.012804783880710602,-0.10222603380680084,
12,4999,0.014528054744005203,-0.06958705931901932,
12,5049,0.0006250548176467419,-0.048947013914585114,
12,5095,,,-0.3223247230052948
13,5099,0.017796002328395844,-0.04458705335855484,
13,5149,-0.009109070524573326,-0.04972551017999649,
13,5199,0.0031508258543908596,-0.02890625223517418,
13,5249,-0.00782768800854683,-0.05969866365194321,
13,5299,0.004853700753301382,-0.06820175796747208,
13,5349,0.01070939376950264,-0.07797539979219437,
13,5399,-0.014136601239442825,-0.05915624648332596,
13,5449,-0.002584299072623253,-0.06606602668762207,
13,5487,,,-0.3224876821041107
14,5499,0.007328113541007042,-0.03671874850988388,
14,5549,0.0030146476346999407,-0.03799157589673996,
14,5599,-0.005521921440958977,-0.050852276384830475,
14,5649,0.0022201072424650192,-0.04300481081008911,
14,5699,0.009984196163713932,-0.0655086413025856,
14,5749,-0.009364355355501175,-0.05640625208616257,
14,5799,-0.0019140169024467468,-0.05677083507180214,
14,5849,0.024309784173965454,-0.05376233905553818,
14,5879,,,-0.31919366121292114
15,5899,-0.002223070478066802,-0.04358378052711487,
15,5949,0.007460692431777716,-0.07953916490077972,
15,5999,0.01087724044919014,-0.05945444852113724,
15,6049,-0.006808935664594173,-0.04173743352293968,
15,6099,-0.010438747704029083,-0.03355863690376282,
15,6149,-0.0001798197627067566,-0.04211914539337158,
15,6199,-0.003705364651978016,-0.05184929072856903,
15,6249,-0.00023004459217190742,-0.03997395932674408,
15,6271,,,-0.3194284737110138
16,6299,0.003945344127714634,-0.05224905535578728,
16,6349,0.0023280680179595947,-0.038788557052612305,
16,6399,-0.00032161641865968704,-0.04127604514360428,
16,6449,0.0032573877833783627,-0.03596755117177963,
16,6499,0.023546358570456505,-0.03838098794221878,
16,6549,0.0161779522895813,-0.044758521020412445,
16,6599,-0.0005301549099385738,-0.05349864065647125,
16,6649,-0.0003425430040806532,-0.06551535427570343,
16,6663,,,-0.32001858949661255
17,6699,0.003289447631686926,-0.05172334983944893,
17,6749,0.015429503284394741,-0.08378124982118607,
17,6799,-0.007159155327826738,-0.027423467487096786,
17,6849,0.0025925501249730587,-0.07412733137607574,
17,6899,0.001273653469979763,-0.06002841144800186,
17,6949,0.0025582644157111645,-0.05738324299454689,
17,6999,0.00197440292686224,-0.04975961893796921,
17,7049,-0.000362162827514112,-0.04534505680203438,
17,7055,,,-0.3121313452720642
18,7099,-0.0025114568416029215,-0.034991778433322906,
18,7149,0.0121002783998847,-0.03216711804270744,
18,7199,-0.0025190766900777817,-0.039541907608509064,
18,7249,-0.005468928255140781,-0.03558311611413956,
18,7299,-0.008224014192819595,-0.04081206023693085,
18,7349,-0.011761127039790154,-0.05019531399011612,
18,7399,0.012559629045426846,-0.03937500715255737,
18,7447,,,-0.3097761273384094
19,7449,0.0025265105068683624,-0.0324438214302063,
19,7499,0.015345459803938866,-0.06181764602661133,
19,7549,-0.0004943821113556623,-0.04048394411802292,
